.,date
168.399155,2014-04-03
166.408356,2014-04-04
164.56929,2014-04-07
165.247787,2014-04-08
167.024338,2014-04-09
163.515823,2014-04-10
162.042831,2014-04-11
163.319412,2014-04-14
164.44429,2014-04-15
166.167328,2014-04-16
166.399429,2014-04-17
166.979721,2014-04-21
167.738541,2014-04-22
167.345673,2014-04-23
167.684952,2014-04-24
166.310135,2014-04-25
166.836853,2014-04-28
167.613541,2014-04-29
168.11351,2014-04-30
168.131332,2014-05-01
167.890289,2014-05-02
168.211685,2014-05-05
166.747589,2014-05-06
167.729599,2014-05-07
167.551041,2014-05-08
167.80101,2014-05-09
169.434769,2014-05-12
169.586548,2014-05-13
168.783035,2014-05-14
167.301102,2014-05-15
167.881393,2014-05-16
168.497391,2014-05-19
167.434998,2014-05-20
168.845581,2014-05-21
169.25621,2014-05-22
169.934692,2014-05-23
170.979218,2014-05-27
170.854233,2014-05-28
171.738037,2014-05-29
172.014771,2014-05-30
172.211227,2014-06-02
172.121933,2014-06-03
172.470123,2014-06-04
173.59494,2014-06-05
174.425247,2014-06-06
174.603775,2014-06-09
174.621628,2014-06-10
174.014572,2014-06-11
172.782593,2014-06-12
173.309326,2014-06-13
173.452148,2014-06-16
173.934204,2014-06-17
175.210831,2014-06-18
175.407257,2014-06-19
175.763367,2014-06-20
175.709534,2014-06-23
174.651077,2014-06-24
175.440445,2014-06-25
175.31485,2014-06-26
175.655685,2014-06-27
175.56604,2014-06-30
176.741119,2014-07-01
176.920502,2014-07-02
177.790634,2014-07-03
177.171707,2014-07-07
176.032455,2014-07-08
176.821854,2014-07-09
176.122177,2014-07-10
176.364365,2014-07-11
177.252426,2014-07-14
176.920502,2014-07-15
177.575378,2014-07-16
175.557068,2014-07-17
177.351089,2014-07-18
177.019211,2014-07-21
177.790634,2014-07-22
178.185349,2014-07-23
178.194305,2014-07-24
177.360077,2014-07-25
177.431824,2014-07-28
176.669357,2014-07-29
176.696274,2014-07-30
173.206863,2014-07-31
172.677597,2014-08-01
173.924438,2014-08-04
172.238037,2014-08-05
172.291901,2014-08-06
171.358994,2014-08-07
173.3414,2014-08-08
173.843704,2014-08-11
173.601517,2014-08-12
174.776627,2014-08-13
175.601868,2014-08-14
175.56604,2014-08-15
177.037155,2014-08-18
177.961105,2014-08-19
178.436493,2014-08-20
178.956802,2014-08-21
178.678726,2014-08-22
179.584702,2014-08-25
179.701324,2014-08-26
179.629532,2014-08-27
179.530869,2014-08-28
180.042191,2014-08-29
179.952484,2014-09-02
179.853821,2014-09-03
179.593674,2014-09-04
180.401001,2014-09-05
179.934555,2014-09-08
178.795364,2014-09-09
179.46814,2014-09-10
179.674408,2014-09-11
178.624878,2014-09-12
178.490341,2014-09-15
179.835876,2014-09-16
180.078033,2014-09-17
181.037888,2014-09-18
180.874756,2014-09-19
179.477844,2014-09-22
178.45047,2014-09-23
179.847382,2014-09-24
176.945435,2014-09-25
178.351349,2014-09-26
178.026901,2014-09-29
177.558289,2014-09-30
175.152008,2014-10-01
175.179077,2014-10-02
177.107666,2014-10-03
176.900391,2014-10-06
174.169708,2014-10-07
177.215805,2014-10-08
173.701065,2014-10-09
171.718399,2014-10-10
168.897568,2014-10-13
169.158936,2014-10-14
168.014343,2014-10-15
167.870132,2014-10-16
169.852844,2014-10-17
171.502106,2014-10-20
174.899719,2014-10-21
173.656006,2014-10-22
175.674728,2014-10-23
177.02652,2014-10-24
176.783264,2014-10-27
178.810928,2014-10-28
178.540588,2014-10-29
179.68515,2014-10-30
181.739944,2014-10-31
181.839066,2014-11-03
181.208206,2014-11-04
182.352753,2014-11-05
183.082718,2014-11-06
183.253967,2014-11-07
183.83078,2014-11-10
184.011032,2014-11-11
183.812775,2014-11-12
184.02005,2014-11-13
184.065094,2014-11-14
184.182251,2014-11-17
185.245697,2014-11-18
184.948318,2014-11-19
185.27272,2014-11-20
186.264008,2014-11-21
186.786758,2014-11-24
186.651596,2014-11-25
187.129242,2014-11-26
186.732681,2014-11-28
185.434906,2014-12-01
186.633545,2014-12-02
187.354523,2014-12-03
187.147278,2014-12-04
187.453629,2014-12-05
186.200989,2014-12-08
186.074768,2014-12-09
183.091751,2014-12-10
184.02005,2014-12-11
181.04599,2014-12-12
179.802261,2014-12-15
178.360336,2014-12-16
181.857071,2014-12-17
186.354187,2014-12-18
187.147125,2014-12-19
188.007996,2014-12-22
188.261719,2014-12-23
188.279846,2014-12-24
188.886978,2014-12-26
189.140732,2014-12-29
188.125809,2014-12-30
186.259033,2014-12-31
186.159332,2015-01-02
182.797379,2015-01-05
181.075607,2015-01-06
183.332016,2015-01-07
186.585236,2015-01-08
185.090027,2015-01-09
183.640121,2015-01-12
183.123596,2015-01-13
182.018036,2015-01-14
180.350677,2015-01-15
182.71582,2015-01-16
183.105469,2015-01-20
184.0298,2015-01-21
186.766479,2015-01-22
185.742508,2015-01-23
186.177475,2015-01-26
183.72168,2015-01-27
181.365585,2015-01-28
183.042038,2015-01-29
180.740311,2015-01-30
182.978622,2015-02-02
185.62468,2015-02-03
184.917847,2015-02-04
186.784622,2015-02-05
186.268112,2015-02-06
185.434402,2015-02-09
187.409882,2015-02-10
187.518646,2015-02-11
189.32193,2015-02-12
190.101303,2015-02-13
190.400314,2015-02-17
190.418427,2015-02-18
190.282516,2015-02-19
191.424316,2015-02-20
191.397171,2015-02-23
191.940842,2015-02-24
191.77774,2015-02-25
191.551178,2015-02-26
190.898758,2015-02-27
192.104004,2015-03-02
191.315567,2015-03-03
190.509064,2015-03-04
190.717499,2015-03-05
188.035172,2015-03-06
188.814453,2015-03-09
185.751587,2015-03-10
185.316605,2015-03-11
187.672699,2015-03-12
186.521805,2015-03-13
189.013855,2015-03-16
188.451996,2015-03-17
190.717499,2015-03-18
189.847534,2015-03-19
191.523331,2015-03-20
191.150131,2015-03-23
190.076035,2015-03-24
187.29071,2015-03-25
186.844666,2015-03-26
187.272491,2015-03-27
189.55722,2015-03-30
187.900558,2015-03-31
187.236115,2015-04-01
187.909668,2015-04-02
189.174911,2015-04-06
188.674225,2015-04-07
189.311417,2015-04-08
190.148849,2015-04-09
191.186493,2015-04-10
190.321793,2015-04-13
190.685867,2015-04-14
191.541504,2015-04-15
191.486893,2015-04-16
189.284119,2015-04-17
191.01358,2015-04-20
190.786011,2015-04-21
191.723602,2015-04-22
192.205994,2015-04-23
192.652054,2015-04-24
191.850983,2015-04-27
192.460846,2015-04-28
191.668961,2015-04-29
189.748367,2015-04-30
191.805481,2015-05-01
192.351608,2015-05-04
190.148849,2015-05-05
189.366043,2015-05-06
190.121567,2015-05-07
192.624695,2015-05-08
191.705353,2015-05-11
191.131897,2015-05-12
191.168304,2015-05-13
193.161758,2015-05-14
193.371109,2015-05-15
193.971832,2015-05-18
193.908157,2015-05-19
193.771576,2015-05-20
194.335968,2015-05-21
193.871704,2015-05-22
191.787277,2015-05-26
193.607758,2015-05-27
193.389313,2015-05-28
192.187805,2015-05-29
192.579178,2015-06-01
192.388,2015-06-02
192.897751,2015-06-03
191.268433,2015-06-04
190.940765,2015-06-05
189.766556,2015-06-08
189.739258,2015-06-09
192.014816,2015-06-10
192.63382,2015-06-11
191.15921,2015-06-12
190.339996,2015-06-15
191.37767,2015-06-16
191.687149,2015-06-17
193.680573,2015-06-18
192.82077,2015-06-19
193.808624,2015-06-22
193.945847,2015-06-23
192.537247,2015-06-24
191.951874,2015-06-25
191.915253,2015-06-26
187.890778,2015-06-29
188.284027,2015-06-30
189.793259,2015-07-01
189.619461,2015-07-02
189.079834,2015-07-06
190.26889,2015-07-07
187.076691,2015-07-08
187.415115,2015-07-09
189.774963,2015-07-10
191.869537,2015-07-13
192.701889,2015-07-14
192.637848,2015-07-15
194.183655,2015-07-16
194.348297,2015-07-17
194.448883,2015-07-20
193.680573,2015-07-21
193.332993,2015-07-22
192.244553,2015-07-23
190.250595,2015-07-24
189.143814,2015-07-27
191.467117,2015-07-28
192.784195,2015-07-29
192.829926,2015-07-30
192.537247,2015-07-31
191.887817,2015-08-03
191.512833,2015-08-04
192.143936,2015-08-05
190.570724,2015-08-06
190.204834,2015-08-07
192.601273,2015-08-10
190.863388,2015-08-11
191.092026,2015-08-12
190.854263,2015-08-13
191.549408,2015-08-14
192.619553,2015-08-17
192.0616,2015-08-18
190.543274,2015-08-19
186.564468,2015-08-20
180.948425,2015-08-21
173.329254,2015-08-24
171.289536,2015-08-25
177.866013,2015-08-26
182.265549,2015-08-27
182.274689,2015-08-28
180.802063,2015-08-31
175.405548,2015-09-01
178.734955,2015-09-02
178.862991,2015-09-03
176.155579,2015-09-04
180.582535,2015-09-08
178.167847,2015-09-09
179.13739,2015-09-10
179.951431,2015-09-11
179.283691,2015-09-14
181.524658,2015-09-15
183.097839,2015-09-16
182.686234,2015-09-17
179.700897,2015-09-18
180.629547,2015-09-21
178.285049,2015-09-22
178,2015-09-23
177.3564,2015-09-24
177.31041,2015-09-25
172.860428,2015-09-28
172.961563,2015-09-29
176.188705,2015-09-30
176.648453,2015-10-01
179.287155,2015-10-02
182.477585,2015-10-05
181.852356,2015-10-06
183.341827,2015-10-07
184.996796,2015-10-08
185.107101,2015-10-09
185.281799,2015-10-12
184.11412,2015-10-13
183.231491,2015-10-14
186.044891,2015-10-15
186.890793,2015-10-16
186.982697,2015-10-19
186.743668,2015-10-20
185.585251,2015-10-21
188.720474,2015-10-22
190.789093,2015-10-23
190.320236,2015-10-26
189.952454,2015-10-27
192.113113,2015-10-28
192.002777,2015-10-29
191.175308,2015-10-30
193.437103,2015-11-02
193.99791,2015-11-03
193.4095,2015-11-04
193.216385,2015-11-05
193.11525,2015-11-06
191.313248,2015-11-09
191.754562,2015-11-10
191.000626,2015-11-11
188.334274,2015-11-12
186.219604,2015-11-13
189.051437,2015-11-16
188.913528,2015-11-17
191.910828,2015-11-18
191.745361,2015-11-19
192.444077,2015-11-20
192.223404,2015-11-23
192.480881,2015-11-24
192.453278,2015-11-25
192.673965,2015-11-27
191.874023,2015-11-30
193.703705,2015-12-01
191.726959,2015-12-02
